,league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1
115,D1,2012,1,4,4.34,3.65,2,0,2,3,-2,0,0,0,-4,-1,1,0,-1,-1,0,0
116,I1,2012,2,2,1.64,3.85,7.4,6,2,1,0,0,0,0,-1,7,0,0,7,7,0,0
117,E0,2012,0,2,2.8,3.64,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,D1,2012,1,0,1.83,3.9,5,15,1,5,-2,0,0,1,-5,-4,-2,0,12,-4,0,0
119,F1,2012,1,2,5.65,3.55,1.84,-12,1,-5,0,0,0,1,5,0,-1,0,-9,0,0,-1
120,SP1,2012,1,0,1.97,3.95,4.09,0,-4,-3,-1,0,0,0,2,0,-1,0,0,0,0,0
121,SP1,2012,4,2,1.09,14.2,37.6,16,-2,-2,0,0,0,0,2,2,0,-1,12,2,0,0
122,F1,2012,1,3,3.65,3.15,2.44,-5,1,2,-2,0,1,0,-1,-4,1,0,-7,-4,1,1
123,F1,2012,0,1,2.64,3.13,3.25,-8,1,-2,-1,0,0,0,2,2,1,0,-6,2,0,0
124,F1,2012,1,1,2.54,3.19,3.4,1,-5,-11,0,0,0,0,10,-2,0,0,-2,-2,0,0
125,E0,2012,0,5,9.41,5.5,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,D1,2012,1,2,1.45,4.9,9.19,13,3,5,-2,0,0,0,-5,-2,1,0,10,-2,0,0
127,F1,2012,3,1,3.31,3,2.76,-4,-4,-4,-1,0,0,0,2,-8,0,0,-2,-8,0,0
128,F1,2012,0,1,1.7,3.9,6.99,15,7,-8,-2,0,0,0,9,-2,-1,0,8,-2,0,0
129,D1,2012,7,0,1.18,9.6,19,21,12,1,0,0,0,0,-1,-1,0,0,13,-1,0,0
130,SP1,2012,2,2,2.54,3.6,3.26,1,1,1,-2,0,1,0,0,1,1,-2,1,1,1,0
131,E0,2012,1,0,1.42,4.8,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,D1,2012,3,0,1.85,3.95,4.7,8,5,-4,-1,0,0,0,5,3,0,0,6,3,0,0
133,E0,2012,1,0,4,3.49,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,D1,2012,2,0,1.74,4.2,5.3,13,4,-1,-2,0,0,1,2,4,-1,0,6,4,0,0
135,E0,2012,1,2,6,4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,SP1,2012,2,2,15.51,7.2,1.25,-3,0,-3,1,0,0,0,4,1,-1,0,-4,1,0,0
137,D1,2012,0,4,2.16,3.65,3.8,5,3,-4,0,0,0,0,4,4,-2,1,7,4,0,-1
138,E0,2012,3,0,1.2,8.19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,F1,2012,0,0,1.7,3.85,6.6,8,2,1,-1,0,0,0,-1,3,0,0,7,3,0,0
140,E0,2012,2,2,2.02,3.55,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,I1,2012,1,3,4.2,3.37,2.12,-7,-1,3,1,0,0,0,-1,-2,1,0,-8,-2,1,0
142,SP1,2012,2,1,2.08,3.45,4.3,11,-2,4,-1,0,0,0,-5,2,-1,0,9,2,0,0
143,F1,2012,0,0,3.1,3.06,3.09,2,-5,-7,-3,0,0,0,8,-3,-1,0,1,-3,0,0
144,I1,2012,4,3,4,3.45,2.16,-2,-3,-9,-1,0,0,0,9,1,-2,1,-6,1,0,0
145,E0,2012,0,1,2.96,3.48,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,SP1,2012,2,1,2.48,3.45,3.2,-7,-1,-6,1,0,0,0,5,-4,0,0,-6,-4,0,0
147,E0,2012,1,1,1.73,4,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,I1,2012,2,2,1.86,3.65,5.3,-3,-6,6,2,0,0,0,-5,-3,-1,0,-3,-3,1,0
149,SP1,2012,0,0,2.41,3.46,3.46,-3,-1,-8,2,0,0,0,7,1,1,0,0,1,1,0
150,D1,2012,2,1,3.56,3.9,2.73,6,6,-3,-2,0,0,0,1,0,0,0,8,0,0,0
151,I1,2012,4,1,1.79,4.18,7.66,10,3,2,0,0,1,0,-2,3,0,-1,9,3,1,0
152,SP1,2012,1,0,1.89,4,5.4,14,2,-7,-2,0,0,0,7,5,0,0,13,5,0,0
153,I1,2012,0,2,3.25,3.46,2.46,3,3,4,1,0,0,0,-7,-3,2,0,3,-3,0,0
154,F1,2012,1,0,1.79,3.7,6.8,11,-2,-3,0,0,0,-1,4,-1,-1,0,8,-1,0,0
155,SP1,2012,0,0,2.15,3.65,3.75,13,2,6,0,0,0,0,-6,-4,-1,-1,13,-4,0,0
156,I1,2012,0,0,2.27,3.18,4,5,0,-10,-2,0,0,0,11,-3,0,0,0,-3,0,0
157,I1,2012,1,2,1.77,4.03,7.14,6,1,-3,-5,0,1,0,2,4,0,0,1,4,1,0
158,D1,2012,1,2,2.84,3.64,2.9,-3,-3,5,0,0,1,0,-2,-3,1,2,0,-3,0,0
159,I1,2012,2,0,1.68,3.7,7.4,1,10,7,0,0,0,0,-7,2,2,0,5,2,0,0
160,F1,2012,1,0,1.37,5.4,14.16,-3,-2,-5,0,0,0,1,5,-2,1,0,-2,-2,0,0
161,I1,2012,2,2,1.89,3.55,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,SP1,2012,4,0,1.53,4.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,E0,2012,0,0,2.54,3.34,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,D1,2012,1,2,3.8,3.83,2.08,6,1,-2,-1,0,0,0,2,0,0,0,1,0,0,0
165,E0,2012,3,1,1.53,4.4,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,E0,2012,1,1,1.95,3.55,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,SP1,2012,0,1,3.15,3.45,2.54,-3,-3,7,1,0,0,0,-8,1,1,0,-3,1,0,-1
168,E0,2012,3,0,2.86,3.35,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,SP1,2012,1,0,1.56,4.41,7.2,5,6,12,1,0,0,0,-12,-4,-1,0,7,-4,0,0
170,F1,2012,3,0,2.02,3.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,SP1,2012,0,1,3.65,3.5,2.25,5,0,-6,-4,0,0,0,6,-1,0,0,1,-1,0,0
172,F1,2012,4,0,1.79,3.55,6,7,1,6,-1,0,0,0,-4,1,0,0,6,1,-1,0
173,D1,2012,1,1,2.74,3.75,2.7,20,12,5,0,0,-1,0,-5,3,1,0,10,3,-1,0
174,I1,2012,0,0,1.97,3.76,4.42,6,-1,-3,0,0,0,0,3,-1,0,0,3,-1,0,0
175,I1,2012,2,1,1.68,3.8,7,10,-1,2,-1,0,0,0,-5,-2,1,0,8,-2,0,0
176,SP1,2012,8,0,1.1,13,35,11,5,-6,-5,0,0,0,7,6,0,0,9,6,0,1
177,E0,2012,0,3,2.2,3.4,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,SP1,2012,1,0,2.82,3.4,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,F1,2012,2,2,1.46,4.59,9.6,5,6,-4,0,0,0,0,5,2,-2,-1,4,2,1,0
180,E0,2012,1,2,1.88,3.75,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,D1,2012,1,4,1.41,5.43,9.4,8,5,0,-3,0,1,0,-1,3,1,0,8,3,1,0
182,D1,2012,3,1,1.97,3.95,4.13,4,-2,-1,2,0,-1,0,0,-2,0,0,4,-2,-1,0
183,F1,2012,3,2,2.58,3.17,3.35,15,5,2,2,0,-1,-1,-3,3,0,-2,6,3,-1,0
184,F1,2012,3,0,2.06,3.3,4.7,-8,-3,-4,-1,0,0,0,3,3,1,0,-3,3,0,0
185,D1,2012,0,1,2.6,3.65,2.88,-7,-6,4,-1,0,0,0,-6,4,1,0,-6,4,0,0
186,F1,2012,2,2,3.1,3.08,2.84,1,2,0,-1,0,1,-1,3,-2,1,0,1,-2,1,0
187,E0,2012,4,3,4,3.7,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,D1,2012,3,1,2.96,3.51,2.62,3,2,-6,-2,0,0,0,6,-4,-1,0,-2,-4,0,1
189,D1,2012,2,2,1.59,4.37,7,12,1,-9,-2,0,-1,-2,9,0,0,0,8,0,-1,0
190,F1,2012,1,1,1.9,3.47,5.3,0,-1,6,0,0,0,0,-7,0,0,0,5,0,0,0
191,I1,2012,0,2,2,3.35,4.8,-5,5,0,1,0,0,0,2,1,1,0,-6,1,0,0
192,F1,2012,2,2,4.3,3.35,2.1,2,-4,17,3,0,0,0,-17,-3,-3,1,0,-3,0,0
193,SP1,2012,2,1,2.44,3.3,3.4,-2,-1,12,-4,0,0,0,-13,1,-1,1,1,1,-1,0
194,D1,2012,0,2,4.76,3.95,1.85,-11,-3,-1,0,0,0,1,0,1,-2,0,-10,1,0,0
195,I1,2012,2,0,2.31,3.29,3.75,-3,1,-5,-3,0,0,0,4,3,0,-1,-6,3,0,0
196,E0,2012,4,0,2.94,3.43,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,E0,2012,3,1,2.06,3.61,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,E0,2012,4,0,2.48,3.25,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,E0,2012,2,2,5.3,3.85,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,I1,2012,2,1,2.34,3.2,3.9,2,-2,8,0,0,0,0,-7,-6,1,0,2,-6,1,0
201,SP1,2012,0,1,1.98,3.65,4.4,-2,-3,5,-2,0,0,0,-6,-3,0,0,-1,-3,0,0
202,D1,2012,2,1,4.59,4.04,1.9,0,4,4,1,0,1,0,-4,-2,1,0,1,-2,1,0
203,I1,2012,3,1,2.6,3.3,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,I1,2012,1,0,2.27,3.52,3.6,-3,-7,3,1,0,0,0,-4,0,1,0,-1,0,0,0
205,F1,2012,2,0,2.4,3.3,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,I1,2012,1,2,1.95,3.4,5,1,4,0,-1,0,0,0,2,-4,0,0,0,-4,0,0
207,SP1,2012,2,3,2.04,3.5,4.4,0,8,-5,-1,0,-1,0,5,2,0,0,1,2,0,0
208,F1,2012,1,1,1.74,3.6,6.6,5,4,-12,-1,0,0,0,12,-1,1,1,4,-1,0,0
209,I1,2012,0,1,4.2,3.15,2.24,-7,-4,-4,2,0,0,0,4,0,3,0,-5,0,0,0
210,SP1,2012,4,0,1.46,4.9,8.6,13,1,0,1,0,0,0,2,2,2,-1,11,2,0,0
211,SP1,2012,1,0,13,6.5,1.3,-3,-3,4,3,0,0,0,-4,0,0,0,-1,0,-1,0
212,I1,2012,1,0,1.88,3.57,5.3,8,8,2,4,0,0,0,-3,3,2,1,6,3,0,0
213,SP1,2012,1,0,2.1,3.7,3.9,-1,1,2,3,0,0,0,-1,0,0,0,-1,0,0,0
214,SP1,2012,2,0,1.75,3.95,5.8,4,1,-5,-3,0,0,1,4,2,-1,0,4,2,0,0
215,SP1,2012,0,0,2.88,3.5,2.69,4,2,1,1,0,0,0,-1,8,1,0,-2,8,0,0
216,F1,2012,1,1,2.88,3.25,2.84,0,-5,8,0,0,0,-1,-6,-1,0,0,2,-1,0,0
217,I1,2012,3,1,5.5,3.5,1.89,1,0,-3,-3,0,-1,0,2,0,0,1,-2,0,-1,0
218,SP1,2012,2,2,8.19,5,1.47,0,1,9,3,0,1,0,-10,-10,-1,0,-2,-10,1,1
219,I1,2012,3,0,1.96,3.42,5,4,1,-1,1,0,0,0,0,0,0,0,2,0,0,0
