id_odsp,league,season,fthg,ftag,odd_h,odd_d,odd_a
zslhWYgp/,I1,2012,1,0,1.88,3.57,5.3
EXbpbSSd/,SP1,2012,1,0,2.1,3.7,3.9
hOclcnr3/,SP1,2012,2,0,1.75,3.95,5.8
p01Ezqjd/,SP1,2012,0,0,2.88,3.5,2.69
xhgZWBg0/,F1,2012,1,1,2.88,3.25,2.84
YNlZ3g09/,I1,2012,3,1,5.5,3.5,1.89
692AyPzj/,SP1,2012,2,2,8.19,5,1.47
80uWsCwj/,I1,2012,3,0,1.96,3.42,5
8jApU9wJ/,F1,2012,1,1,2.06,3.3,4.59
ba7Bnigm/,F1,2012,1,1,2.64,3.07,3.35
CEmw3DFF/,I1,2012,3,2,2.25,3.3,3.9
Cn36x5Lq/,SP1,2012,4,0,1.42,5.09,9.6
fgaelE0M/,I1,2012,1,2,3.55,3.36,2.35
fT3UXivf/,F1,2012,1,3,4.19,3.41,2.12
GnfU4Zp3/,I1,2012,1,1,1.72,3.8,6.49
ID5ukOkq/,SP1,2012,0,0,17.72,8.6,1.2
KzqzsWhd/,I1,2012,1,1,1.32,5.58,14.2
lQHyggGJ/,F1,2012,2,0,1.44,4.9,10.3
nochd6c9/,SP1,2012,1,0,1.68,4.09,6.2
OS3amYFS/,I1,2012,1,0,3.2,3.1,2.74
pd37mXws/,F1,2012,2,1,1.44,4.7,10
QLDDg4sS/,SP1,2012,1,2,2.25,3.31,3.92
QyjRrhOq/,I1,2012,3,0,1.72,3.7,6.73
SGGuhDVP/,F1,2012,1,1,2.7,3.05,3.2
tOdGoB8g/,F1,2012,2,6,2.5,3.39,3.25
UaBtVkOC/,F1,2012,1,0,2.6,3.15,3.25
xdeQ5FVd/,I1,2012,1,2,2.58,3.2,3.35
zwCxWV86/,F1,2012,1,0,4.09,3.25,2.24
0l1deQCF/,SP1,2012,4,3,1.7,4.09,6
6yms2XUL/,I1,2012,1,1,1.63,4,7.4
rDj1fpSL/,SP1,2012,1,0,2.46,3.35,3.37
OKJBQ37U/,D1,2012,1,2,1.56,5,6.23
00o3l4Ui/,F1,2012,1,1,1.88,3.4,5.5
0MASHCU8/,I1,2012,1,0,1.37,5.3,12
2HV7rMc6/,E0,2012,3,0,1.4,5.4,10.5
4lz9Q0xo/,F1,2012,3,1,2.04,3.4,4.59
82Gob1cg/,E0,2012,0,0,2.2,3.42,3.94
AHF7RqhO/,D1,2012,1,2,4.2,3.82,1.99
AmIzq9hC/,F1,2012,2,4,2.25,3.35,3.9
dSvCnra4/,F1,2012,1,0,1.75,3.55,6.8
EuHsasrm/,E0,2012,1,1,6,3.9,1.72
fqAWGWqF/,I1,2012,0,0,1.96,3.4,5.09
G4y75q5J/,E0,2012,3,1,1.96,3.55,4.76
